country,region,year,"Children out of school, primary","Children out of school, primary, female","Children out of school, primary, male",Primary school completion (% of girls),"Primary completion rate, male (% of relevant age group)","Primary completion rate, total (% of relevant age group)","Expenditure per student, primary (% of GDP per capita)","Expenditure per student, secondary (% of GDP per capita)","Expenditure per student, tertiary (% of GDP per capita)",Youth (15-24) literacy rate (%). Female,Youth (15-24) literacy rate (%). Male,Youth (15-24) literacy rate (%). Total,Adult (15+) literacy rate (%). Male,Adult (15+) literacy rate (%). Total,Ratio of girls to boys in primary and secondary education (%),Education aid (% of total aid),Ratio of young literate females to males (% ages 15-24),Mean years in school (men 25 years old and older),Mean year in School (between 28 and 34 years old ),"Mean years in school (Women of reproductive age, from 15 to 44 years old)",Mean years in school (women 25 and older),Mean years in school (between 25 and 34 years old),Mean years in school ( women aged 25 to 34 as % men of same age)
Algeria,Northern Africa,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,Northern Africa,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,Northern Africa,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,Northern Africa,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,Northern Africa,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,Northern Africa,1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,Northern Africa,1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,Northern Africa,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,Northern Africa,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,Northern Africa,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,Northern Africa,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,1.9,1.4,0.6,1.4,77.7777777777778
Algeria,Northern Africa,1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.732,NA,NA,0.9,2,1.5,0.6,1.5,78.9473684210526
Algeria,Northern Africa,1972,NA,NA,NA,30.90031,55.3917,43.34175,NA,NA,NA,NA,NA,NA,NA,NA,61.724,NA,NA,1,2.1,1.6,0.6,1.6,80
Algeria,Northern Africa,1973,806895,564297,242598,33.02938,57.41252,45.40215,NA,NA,NA,NA,NA,NA,NA,NA,63.162,NA,NA,1.1,2.2,1.7,0.7,1.7,80.952380952381
Algeria,Northern Africa,1974,731571,538928,192643,34.32702,60.71733,47.71764,NA,NA,NA,NA,NA,NA,NA,NA,63.884,NA,NA,1.1,2.3,1.8,0.7,1.8,81.8181818181818
Algeria,Northern Africa,1975,696223,523330,172893,39.7942,66.29215,53.25078,NA,NA,NA,NA,NA,NA,NA,NA,65.073,NA,NA,1.2,2.4,1.9,0.8,1.9,82.6086956521739
Algeria,Northern Africa,1976,671496,509066,162430,45.24156,72.58079,59.14851,NA,NA,NA,NA,NA,NA,NA,NA,66.217,NA,NA,1.2,2.5,2.1,0.8,2,83.3333333333333
Algeria,Northern Africa,1977,646398,491870,154528,48.22515,75.0438,61.87218,NA,NA,NA,NA,NA,NA,NA,NA,67.542,NA,NA,1.3,2.7,2.2,0.9,2.1,80.7692307692308
Algeria,Northern Africa,1978,627309,476842,150467,50.49138,77.39284,64.1889,NA,NA,NA,NA,NA,NA,NA,NA,68.591,NA,NA,1.4,2.8,2.3,0.9,2.3,85.1851851851852
Algeria,Northern Africa,1979,629216,472354,156862,51.07383,76.08493,63.81572,NA,NA,NA,NA,NA,NA,NA,NA,70.309,NA,NA,1.4,2.9,2.4,1,2.4,85.7142857142857
Algeria,Northern Africa,1980,590512,454637,135875,52.10572,74.14495,63.33456,NA,NA,NA,NA,NA,NA,NA,NA,71.524,NA,NA,1.5,3.1,2.6,1.1,2.6,86.6666666666667
Algeria,Northern Africa,1981,572155,447080,125075,55.0174,79.81293,67.64203,NA,NA,NA,NA,NA,NA,NA,NA,72.388,NA,NA,1.6,3.3,2.7,1.1,2.7,84.375
Algeria,Northern Africa,1982,591125,454160,136965,59.0781,79.17959,69.3211,NA,NA,NA,NA,NA,NA,NA,NA,73.465,NA,NA,1.7,3.4,2.9,1.2,2.9,87.8787878787879
Algeria,Northern Africa,1983,621542,464571,156971,61.84179,82.05522,72.14345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,3.6,3,1.3,3.1,88.5714285714286
Algeria,Northern Africa,1984,591620,450888,140732,65.58597,87.95805,76.98502,NA,NA,NA,NA,NA,NA,NA,NA,75.351,NA,NA,1.9,3.8,3.2,1.4,3.3,89.1891891891892
Algeria,Northern Africa,1985,587866,444875,142991,77.1745,105.11991,91.40951,NA,NA,NA,NA,NA,NA,NA,NA,76.38,NA,NA,2,3.9,3.3,1.5,3.4,89.4736842105263
Algeria,Northern Africa,1986,556886,423749,133137,65.21181,85.30478,75.44659,NA,NA,NA,NA,NA,NA,NA,NA,77.885,NA,NA,2.1,4.1,3.5,1.5,3.6,90
Algeria,Northern Africa,1987,520585,401907,118678,68.3323,86.84667,77.76358,NA,NA,NA,62.2114816141408,86.2300899212712,74.3272668947819,63.3774328472004,49.630884834899,78.603,NA,72.1459083145343,2.2,4.3,3.7,1.6,3.8,90.4761904761905
Algeria,Northern Africa,1988,502538,390181,112357,69.9132,87.73683,78.99455,NA,NA,NA,NA,NA,NA,NA,NA,79.411,NA,NA,2.3,4.5,3.8,1.7,3.9,88.6363636363636
Algeria,Northern Africa,1989,495690,382297,113393,73.15405,90.84413,82.17035,NA,NA,NA,NA,NA,NA,NA,NA,80.614,NA,NA,2.4,4.7,4,1.8,4.1,89.1304347826087
Algeria,Northern Africa,1990,519502,389790,129712,72.54374,88.98967,80.92902,NA,NA,NA,NA,NA,NA,NA,NA,81.54,NA,NA,2.5,4.8,4.1,1.9,4.3,91.4893617021276
Algeria,Northern Africa,1991,491414,369724,121690,73.08401,85.5203,79.4272,NA,NA,NA,NA,NA,NA,NA,NA,82.863,NA,NA,2.6,5,4.3,2,4.4,89.7959183673469
