country,region,year,Fixed broadband Internet subscribers (per 100 people),Fixed broadband Internet subscribers,"Proportion of the population using improved sanitation facilities, urban",Fixed line and mobile phone subscribers (per 100 peoples),"Proportion of the population using improved sanitation facilities, rural","Proportion of the population using improved sanitation facilities, total"
Algeria,Northern Africa,1960,NA,NA,NA,..,NA,NA
Algeria,Northern Africa,1961,NA,NA,NA,..,NA,NA
Algeria,Northern Africa,1962,NA,NA,NA,..,NA,NA
Algeria,Northern Africa,1963,NA,NA,NA,..,NA,NA
Algeria,Northern Africa,1964,NA,NA,NA,..,NA,NA
Algeria,Northern Africa,1965,NA,NA,NA,..,NA,NA
Algeria,Northern Africa,1966,NA,NA,NA,..,NA,NA
Algeria,Northern Africa,1967,NA,NA,NA,..,NA,NA
Algeria,Northern Africa,1968,NA,NA,NA,..,NA,NA
Algeria,Northern Africa,1969,NA,NA,NA,..,NA,NA
Algeria,Northern Africa,1970,NA,NA,NA,..,NA,NA
Algeria,Northern Africa,1971,NA,NA,NA,..,NA,NA
Algeria,Northern Africa,1972,NA,NA,NA,..,NA,NA
Algeria,Northern Africa,1973,NA,NA,NA,..,NA,NA
Algeria,Northern Africa,1974,NA,NA,NA,..,NA,NA
Algeria,Northern Africa,1975,NA,NA,NA,0.804709944,NA,NA
Algeria,Northern Africa,1976,NA,NA,NA,0.851148482,NA,NA
Algeria,Northern Africa,1977,NA,NA,NA,1.010068993,NA,NA
Algeria,Northern Africa,1978,NA,NA,NA,1.174492408,NA,NA
Algeria,Northern Africa,1979,NA,NA,NA,1.43034775,NA,NA
Algeria,Northern Africa,1980,NA,NA,NA,1.655396609,NA,NA
Algeria,Northern Africa,1981,NA,NA,NA,1.866510694,NA,NA
Algeria,Northern Africa,1982,NA,NA,NA,2.031276334,NA,NA
Algeria,Northern Africa,1983,NA,NA,NA,2.146929835,NA,NA
Algeria,Northern Africa,1984,NA,NA,NA,2.170951191,NA,NA
Algeria,Northern Africa,1985,NA,NA,NA,2.430409846,NA,NA
Algeria,Northern Africa,1986,NA,NA,NA,2.543137707,NA,NA
Algeria,Northern Africa,1987,NA,NA,NA,2.71398369,NA,NA
Algeria,Northern Africa,1988,NA,NA,NA,2.901973862,NA,NA
Algeria,Northern Africa,1989,NA,NA,NA,3.041420618,NA,NA
Algeria,Northern Africa,1990,NA,NA,99,3.21356479,77,88
Algeria,Northern Africa,1991,NA,NA,99,3.426713585,77,89
Algeria,Northern Africa,1992,NA,NA,99,3.644182523,77,89
Algeria,Northern Africa,1993,NA,NA,99,3.952207565,77,89
Algeria,Northern Africa,1994,NA,NA,99,4.053095198,78,90
Algeria,Northern Africa,1995,NA,NA,99,4.178294149,78,90
Algeria,Northern Africa,1996,NA,NA,99,4.484864475,79,90
Algeria,Northern Africa,1997,NA,NA,99,4.852675933,80,91
Algeria,Northern Africa,1998,NA,NA,99,5.042766199,81,91
Algeria,Northern Africa,1999,NA,NA,99,5.560058323,81,92
Algeria,Northern Africa,2000,NA,NA,99,6.055607848,82,92
Algeria,Northern Africa,2001,0,0,98,6.396543231,83,92
Algeria,Northern Africa,2002,0,0,98,7.640695632,84,93
Algeria,Northern Africa,2003,0.056402530067092,18e3,98,11.27147096,85,93
Algeria,Northern Africa,2004,0.111124665576493,36e3,98,22.76915521,85,93
Algeria,Northern Africa,2005,0.410478463122417,135e3,98,49.41035015,86,94
Algeria,Northern Africa,2006,0.509104678330594,17e4,98,71.47957504,87,94
Algeria,Northern Africa,2007,0.846557772445811,287039,98,..,88,94
Algeria,Northern Africa,2008,1.4087359287613,485e3,98,NA,88,95
Algeria,Northern Africa,2009,2.34047515880324,818e3,98,NA,88,95
Algeria,Northern Africa,2010,2.53749859027856,9e5,98,NA,88,95
Algeria,Northern Africa,2011,NA,NA,NA,NA,NA,NA
Angola,Middle Africa,1960,NA,NA,NA,..,NA,NA
Angola,Middle Africa,1961,NA,NA,NA,..,NA,NA
Angola,Middle Africa,1962,NA,NA,NA,..,NA,NA
Angola,Middle Africa,1963,NA,NA,NA,..,NA,NA
Angola,Middle Africa,1964,NA,NA,NA,..,NA,NA
Angola,Middle Africa,1965,NA,NA,NA,..,NA,NA
Angola,Middle Africa,1966,NA,NA,NA,..,NA,NA
Angola,Middle Africa,1967,NA,NA,NA,..,NA,NA
Angola,Middle Africa,1968,NA,NA,NA,..,NA,NA
Angola,Middle Africa,1969,NA,NA,NA,..,NA,NA
Angola,Middle Africa,1970,NA,NA,NA,..,NA,NA
Angola,Middle Africa,1971,NA,NA,NA,..,NA,NA
Angola,Middle Africa,1972,NA,NA,NA,..,NA,NA
Angola,Middle Africa,1973,NA,NA,NA,..,NA,NA
Angola,Middle Africa,1974,NA,NA,NA,..,NA,NA
Angola,Middle Africa,1975,NA,NA,NA,0.264221619,NA,NA
Angola,Middle Africa,1976,NA,NA,NA,0.2719232,NA,NA
Angola,Middle Africa,1977,NA,NA,NA,0.278843152,NA,NA
Angola,Middle Africa,1978,NA,NA,NA,0.339109222,NA,NA
Angola,Middle Africa,1979,NA,NA,NA,0.395158674,NA,NA
Angola,Middle Africa,1980,NA,NA,NA,0.459516765,NA,NA
Angola,Middle Africa,1981,NA,NA,NA,0.452901457,NA,NA
Angola,Middle Africa,1982,NA,NA,NA,0.586969865,NA,NA
Angola,Middle Africa,1983,NA,NA,NA,0.527534569,NA,NA
Angola,Middle Africa,1984,NA,NA,NA,0.511330529,NA,NA
Angola,Middle Africa,1985,NA,NA,NA,0.510472943,NA,NA
Angola,Middle Africa,1986,NA,NA,NA,0.504566489,NA,NA
Angola,Middle Africa,1987,NA,NA,NA,0.634777038,NA,NA
Angola,Middle Africa,1988,NA,NA,NA,0.650019436,NA,NA
Angola,Middle Africa,1989,NA,NA,NA,0.653635962,NA,NA
Angola,Middle Africa,1990,NA,NA,67,0.664499449,6,29
Angola,Middle Africa,1991,NA,NA,67,0.663073239,6,29
Angola,Middle Africa,1992,NA,NA,67,0.43596464,6,30
Angola,Middle Africa,1993,NA,NA,67,0.469259087,6,31
Angola,Middle Africa,1994,NA,NA,68,0.458379058,6,33
Angola,Middle Africa,1995,NA,NA,69,0.444371231,7,34
Angola,Middle Africa,1996,NA,NA,71,0.442288903,8,36
Angola,Middle Africa,1997,NA,NA,72,0.535266679,9,38
Angola,Middle Africa,1998,NA,NA,73,0.565131223,9,39
Angola,Middle Africa,1999,NA,NA,74,0.671674719,10,41
Angola,Middle Africa,2000,NA,NA,75,0.651155498,11,42
Angola,Middle Africa,2001,0,0,76,1.060200237,12,44
Angola,Middle Africa,2002,0,0,77,1.494182967,13,46
Angola,Middle Africa,2003,0,0,78,2.865877036,14,47
Angola,Middle Africa,2004,0,0,80,5.335799854,14,49
Angola,Middle Africa,2005,0,0,81,10.61109222,15,51
Angola,Middle Africa,2006,0.043843853800677,7458,82,14.26812143,16,52
Angola,Middle Africa,2007,0.066760370838454,11700,83,..,17,54
Angola,Middle Africa,2008,0.08838026287224,15942,84,NA,18,55
Angola,Middle Africa,2009,0.107786990271955,2e4,85,NA,19,57
Angola,Middle Africa,2010,0.10481081647626,2e4,85,NA,19,58
Angola,Middle Africa,2011,NA,NA,NA,NA,NA,NA
Benin,Western Africa,1960,NA,NA,NA,..,NA,NA
Benin,Western Africa,1961,NA,NA,NA,..,NA,NA
Benin,Western Africa,1962,NA,NA,NA,..,NA,NA
Benin,Western Africa,1963,NA,NA,NA,..,NA,NA
Benin,Western Africa,1964,NA,NA,NA,..,NA,NA
Benin,Western Africa,1965,NA,NA,NA,..,NA,NA
Benin,Western Africa,1966,NA,NA,NA,..,NA,NA
Benin,Western Africa,1967,NA,NA,NA,..,NA,NA
Benin,Western Africa,1968,NA,NA,NA,..,NA,NA
Benin,Western Africa,1969,NA,NA,NA,..,NA,NA
Benin,Western Africa,1970,NA,NA,NA,..,NA,NA
Benin,Western Africa,1971,NA,NA,NA,..,NA,NA
Benin,Western Africa,1972,NA,NA,NA,..,NA,NA
Benin,Western Africa,1973,NA,NA,NA,..,NA,NA
Benin,Western Africa,1974,NA,NA,NA,..,NA,NA
Benin,Western Africa,1975,NA,NA,NA,0.165398703,NA,NA
Benin,Western Africa,1976,NA,NA,NA,0.177586795,NA,NA
Benin,Western Africa,1977,NA,NA,NA,0.187794064,NA,NA
Benin,Western Africa,1978,NA,NA,NA,0.201475481,NA,NA
Benin,Western Africa,1979,NA,NA,NA,0.213941522,NA,NA
Benin,Western Africa,1980,NA,NA,NA,0.229565069,NA,NA
Benin,Western Africa,1981,NA,NA,NA,0.245491837,NA,NA
Benin,Western Africa,1982,NA,NA,NA,0.244110088,NA,NA
Benin,Western Africa,1983,NA,NA,NA,0.242377767,NA,NA
Benin,Western Africa,1984,NA,NA,NA,0.24903297,NA,NA
Benin,Western Africa,1985,NA,NA,NA,0.247633464,NA,NA
Benin,Western Africa,1986,NA,NA,NA,0.265019711,NA,NA
Benin,Western Africa,1987,NA,NA,NA,0.281228849,NA,NA
Benin,Western Africa,1988,NA,NA,NA,0.280871545,NA,NA
Benin,Western Africa,1989,NA,NA,NA,0.284530844,NA,NA
Benin,Western Africa,1990,NA,NA,14,0.285329896,0,5
Benin,Western Africa,1991,NA,NA,14,0.279511705,1,6
Benin,Western Africa,1992,NA,NA,15,0.2826954,1,6
Benin,Western Africa,1993,NA,NA,15,0.352647961,1,6
Benin,Western Africa,1994,NA,NA,16,0.399063779,1,6
Benin,Western Africa,1995,NA,NA,17,0.471219165,1,7
Benin,Western Africa,1996,NA,NA,17,0.552049194,2,8
Benin,Western Africa,1997,NA,NA,18,0.616767266,2,8
Benin,Western Africa,1998,NA,NA,18,0.656090442,2,8
Benin,Western Africa,1999,NA,NA,19,0.72656346,2,8
Benin,Western Africa,2000,NA,NA,19,1.48217454,3,9
Benin,Western Africa,2001,0,0,20,2.470460386,3,10
Benin,Western Africa,2002,3.02681542263e-4,21,20,3.652370065,3,10
Benin,Western Africa,2003,2.93092398356e-4,21,21,3.801826619,3,10
Benin,Western Africa,2004,0.001094892730926,81,21,5.586862606,4,11
Benin,Western Africa,2005,0.002567543085272,196,22,9.731892898,4,11
Benin,Western Africa,2006,0.019030179858066,1498,23,12.93508706,4,12
Benin,Western Africa,2007,0.008751847286921,710,23,..,4,12
Benin,Western Africa,2008,0.011668290254405,975,24,NA,4,12
Benin,Western Africa,2009,0.020821293661503,1791,24,NA,5,13
Benin,Western Africa,2010,0.040327683615819,3569,25,NA,5,13
Benin,Western Africa,2011,NA,NA,NA,NA,NA,NA
Botswana,Southern Africa,1960,NA,NA,NA,..,NA,NA
Botswana,Southern Africa,1961,NA,NA,NA,..,NA,NA
Botswana,Southern Africa,1962,NA,NA,NA,..,NA,NA
Botswana,Southern Africa,1963,NA,NA,NA,..,NA,NA
Botswana,Southern Africa,1964,NA,NA,NA,..,NA,NA
Botswana,Southern Africa,1965,NA,NA,NA,..,NA,NA
Botswana,Southern Africa,1966,NA,NA,NA,..,NA,NA
Botswana,Southern Africa,1967,NA,NA,NA,..,NA,NA
Botswana,Southern Africa,1968,NA,NA,NA,..,NA,NA
Botswana,Southern Africa,1969,NA,NA,NA,..,NA,NA
Botswana,Southern Africa,1970,NA,NA,NA,..,NA,NA
Botswana,Southern Africa,1971,NA,NA,NA,..,NA,NA
Botswana,Southern Africa,1972,NA,NA,NA,..,NA,NA
Botswana,Southern Africa,1973,NA,NA,NA,..,NA,NA
Botswana,Southern Africa,1974,NA,NA,NA,..,NA,NA
Botswana,Southern Africa,1975,NA,NA,NA,0.568670605,NA,NA
