country,region,year,Mobile cellular subscriptions (per 100 people),"Mobile cellular subscriptions, total number",High-technology exports (% of manufactured exports),Personal computers,PC per 100,Internet users (per 100 people),"Internet users, total number"
Algeria,Northern Africa,1965,0,0,NA,NA,NA,NA,NA
Algeria,Northern Africa,1966,NA,NA,NA,NA,NA,NA,NA
Algeria,Northern Africa,1967,NA,NA,NA,NA,NA,NA,NA
Algeria,Northern Africa,1968,NA,NA,NA,NA,NA,NA,NA
Algeria,Northern Africa,1969,NA,NA,NA,NA,NA,NA,NA
Algeria,Northern Africa,1970,0,0,NA,NA,NA,NA,NA
Algeria,Northern Africa,1971,NA,NA,NA,NA,NA,NA,NA
Algeria,Northern Africa,1972,NA,NA,NA,NA,NA,NA,NA
Algeria,Northern Africa,1973,NA,NA,NA,NA,NA,NA,NA
Algeria,Northern Africa,1974,NA,NA,NA,NA,NA,NA,NA
Algeria,Northern Africa,1975,0,0,NA,NA,NA,NA,NA
Algeria,Northern Africa,1976,0,0,NA,NA,NA,NA,NA
Algeria,Northern Africa,1977,0,0,NA,NA,NA,NA,NA
Algeria,Northern Africa,1978,0,0,NA,NA,NA,NA,NA
Algeria,Northern Africa,1979,0,0,NA,NA,NA,NA,NA
Algeria,Northern Africa,1980,0,0,NA,NA,NA,NA,NA
Algeria,Northern Africa,1981,0,0,NA,NA,NA,NA,NA
Algeria,Northern Africa,1982,0,0,NA,NA,NA,NA,NA
Algeria,Northern Africa,1983,0,0,NA,NA,NA,NA,NA
Algeria,Northern Africa,1984,0,0,NA,NA,NA,NA,NA
Algeria,Northern Africa,1985,0,0,NA,NA,NA,NA,NA
Algeria,Northern Africa,1986,0,0,NA,NA,NA,NA,NA
Algeria,Northern Africa,1987,0,0,NA,NA,NA,NA,NA
Algeria,Northern Africa,1988,0,0,NA,NA,NA,NA,NA
Algeria,Northern Africa,1989,0,0,NA,NA,NA,NA,NA
Algeria,Northern Africa,1990,0.001857767575252,470,NA,25e3,0.1,0,0
Algeria,Northern Africa,1991,0.018437704392038,4781,NA,39e3,0.15,NA,NA
Algeria,Northern Africa,1992,0.018002129605619,4781,1.26702112316594,48e3,0.18,NA,NA
Algeria,Northern Africa,1993,0.017596676734547,4781,1.62105004254718,6e4,0.22,NA,NA
Algeria,Northern Africa,1994,0.004857467560008,1348,0.816186620836953,72e3,0.26,3.60673567987e-4,100.090832031362
Algeria,Northern Africa,1995,0.016580898543316,4691,0.482299465028591,85e3,0.3,0.001768954015014,500.465234905949
Algeria,Northern Africa,1996,0.040643550676168,11700,0.367838705149729,13e4,0.45,0.001738533225943,500.469038879027
Algeria,Northern Africa,1997,0.059501588025572,17400,1.1709368512735,14e4,0.48,0.010268463150268,3002.79815620845
Algeria,Northern Africa,1998,0.06065978843079,18e3,0.892256190246932,16e4,0.54,0.020238554540847,6005.52674447401
Algeria,Northern Africa,1999,0.239210525528913,72e3,4.44239654128505,18e4,0.6,0.199523842999477,60054.7014567967
Algeria,Northern Africa,2e3,0.281654834816481,86e3,4.16683343230625,2e5,0.66,0.491705679141589,150136.561418268
Algeria,Northern Africa,2001,0.322765829452989,1e5,0.615530031793836,22e4,0.71,0.646114016703792,200180.427339164
Algeria,Northern Africa,2002,1.4319896209663,450244,1.05863088716642,242e3,0.77,1.59164126035832,500441.425787148
Algeria,Northern Africa,2003,4.53390797902152,1446927,2.28679011860615,265e3,0.83,2.19535973086144,700615.293471768
Algeria,Northern Africa,2004,15.0710173043329,4882414,1.04603270347987,29e4,0.9,4.63447508776537,1501386.77398051
Algeria,Northern Africa,2005,41.5384592931093,13661355,1.4846161183203,35e4,1.07,5.84394209201256,1921981.91452109
Algeria,Northern Africa,2006,62.8832742162978,20997954,1.62156078886042,NA,NA,7.37598495634886,2462985.50367093
Algeria,Northern Africa,2007,81.2901232665435,27562721,0.716136565964244,NA,NA,9.45119062555304,3204577.8732033
Algeria,Northern Africa,2008,78.5158882756805,27031472,0.656696365435629,NA,NA,10.18,3504773.2504
Algeria,Northern Africa,2009,93.6471149437679,32729824,0.625863297717341,NA,NA,11.23,3924903.8664
Algeria,Northern Africa,2010,92.4212607527282,32780165,0.504620348567318,NA,NA,12.5,4433526
Algeria,Northern Africa,2011,98.9875901999747,35615926,NA,NA,NA,14,NA
Angola,Middle Africa,1965,0,0,NA,NA,NA,NA,NA
Angola,Middle Africa,1966,NA,NA,NA,NA,NA,NA,NA
Angola,Middle Africa,1967,NA,NA,NA,NA,NA,NA,NA
Angola,Middle Africa,1968,NA,NA,NA,NA,NA,NA,NA
Angola,Middle Africa,1969,NA,NA,NA,NA,NA,NA,NA
Angola,Middle Africa,1970,0,0,NA,NA,NA,NA,NA
Angola,Middle Africa,1971,NA,NA,NA,NA,NA,NA,NA
Angola,Middle Africa,1972,NA,NA,NA,NA,NA,NA,NA
Angola,Middle Africa,1973,NA,NA,NA,NA,NA,NA,NA
Angola,Middle Africa,1974,NA,NA,NA,NA,NA,NA,NA
Angola,Middle Africa,1975,0,0,NA,NA,NA,NA,NA
Angola,Middle Africa,1976,0,0,NA,NA,NA,NA,NA
Angola,Middle Africa,1977,0,0,NA,NA,NA,NA,NA
Angola,Middle Africa,1978,0,0,NA,NA,NA,NA,NA
Angola,Middle Africa,1979,0,0,NA,NA,NA,NA,NA
Angola,Middle Africa,1980,0,0,NA,NA,NA,NA,NA
Angola,Middle Africa,1981,0,0,NA,NA,NA,NA,NA
Angola,Middle Africa,1982,0,0,NA,NA,NA,NA,NA
Angola,Middle Africa,1983,0,0,NA,NA,NA,NA,NA
Angola,Middle Africa,1984,0,0,NA,NA,NA,NA,NA
Angola,Middle Africa,1985,0,0,NA,NA,NA,NA,NA
Angola,Middle Africa,1986,0,0,NA,NA,NA,NA,NA
Angola,Middle Africa,1987,0,0,NA,NA,NA,NA,NA
Angola,Middle Africa,1988,0,0,NA,NA,NA,NA,NA
Angola,Middle Africa,1989,0,0,NA,NA,NA,NA,NA
Angola,Middle Africa,1990,0,0,NA,NA,NA,0,0
Angola,Middle Africa,1991,0,0,NA,NA,NA,NA,NA
Angola,Middle Africa,1992,0,0,NA,NA,NA,NA,NA
Angola,Middle Africa,1993,0.009673093411304,1100,NA,NA,NA,NA,NA
Angola,Middle Africa,1994,0.015532710662388,1824,NA,NA,NA,NA,NA
Angola,Middle Africa,1995,0.016472389128388,1994,NA,NA,NA,NA,NA
Angola,Middle Africa,1996,0.026484163104863,3298,NA,NA,NA,7.75928524568e-4,96.6242453610143
Angola,Middle Africa,1997,0.055127183775598,7052,NA,8e3,0.06,0.005673745988662,725.799033647583
Angola,Middle Africa,1998,0.074743506848126,9820,NA,1e4,0.08,0.018453724075932,2424.4991714647
Angola,Middle Africa,1999,0.17762548037516,24e3,NA,12e3,0.09,0.071964087042003,9723.48159374546
Angola,Middle Africa,2e3,0.185303093633927,25806,NA,15e3,0.11,0.105045562462262,14629.0368484426
Angola,Middle Africa,2001,0.521258883293889,75e3,NA,17e3,0.12,0.136013867429868,19570.0071196459
Angola,Middle Africa,2002,0.940198411413901,14e4,NA,27e3,0.18,0.270376745595134,40260.3790048896
Angola,Middle Africa,2003,2.26978789740014,35e4,NA,NA,NA,0.370682065225727,57158.96316903
Angola,Middle Africa,2004,4.63732949980761,74e4,NA,NA,NA,0.464814617985909,74172.6067392542
Angola,Middle Africa,2005,9.77085298150812,1611118,NA,93396,0.59,1.1433668265595,188529.996138429
Angola,Middle Africa,2006,17.957403150526,3054620,NA,110614,0.7,1.90764750723428,324497.822970428
Angola,Middle Africa,2007,28.3105968622512,4961536,NA,NA,NA,3.2,560811.744
Angola,Middle Africa,2008,37.5505572580143,6773356,NA,NA,NA,4.6,829746.344
Angola,Middle Africa,2009,43.7045041219092,8109421,NA,NA,NA,6,1113306.9
Angola,Middle Africa,2010,46.6892416231665,8909200,NA,NA,NA,10,1908191.2
Angola,Middle Africa,2011,48.3779743457581,9491e3,NA,NA,NA,14.776,NA
Benin,Western Africa,1965,0,0,NA,NA,NA,NA,NA
Benin,Western Africa,1966,NA,NA,NA,NA,NA,NA,NA
Benin,Western Africa,1967,NA,NA,NA,NA,NA,NA,NA
Benin,Western Africa,1968,NA,NA,NA,NA,NA,NA,NA
Benin,Western Africa,1969,NA,NA,NA,NA,NA,NA,NA
Benin,Western Africa,1970,0,0,NA,NA,NA,NA,NA
Benin,Western Africa,1971,NA,NA,NA,NA,NA,NA,NA
Benin,Western Africa,1972,NA,NA,NA,NA,NA,NA,NA
Benin,Western Africa,1973,NA,NA,NA,NA,NA,NA,NA
Benin,Western Africa,1974,NA,NA,NA,NA,NA,NA,NA
Benin,Western Africa,1975,0,0,NA,NA,NA,NA,NA
Benin,Western Africa,1976,0,0,NA,NA,NA,NA,NA
Benin,Western Africa,1977,0,0,NA,NA,NA,NA,NA
Benin,Western Africa,1978,0,0,NA,NA,NA,NA,NA
Benin,Western Africa,1979,0,0,NA,NA,NA,NA,NA
Benin,Western Africa,1980,0,0,NA,NA,NA,NA,NA
Benin,Western Africa,1981,0,0,NA,NA,NA,NA,NA
Benin,Western Africa,1982,0,0,NA,NA,NA,NA,NA
Benin,Western Africa,1983,0,0,NA,NA,NA,NA,NA
Benin,Western Africa,1984,0,0,NA,NA,NA,NA,NA
Benin,Western Africa,1985,0,0,NA,NA,NA,NA,NA
Benin,Western Africa,1986,0,0,NA,NA,NA,NA,NA
Benin,Western Africa,1987,0,0,NA,NA,NA,NA,NA
Benin,Western Africa,1988,0,0,NA,NA,NA,NA,NA
Benin,Western Africa,1989,0,0,NA,NA,NA,NA,NA
Benin,Western Africa,1990,0,0,NA,NA,NA,0,0
Benin,Western Africa,1991,0,0,NA,NA,NA,NA,NA
Benin,Western Africa,1992,0,0,NA,NA,NA,NA,NA
Benin,Western Africa,1993,0,0,NA,NA,NA,NA,NA
Benin,Western Africa,1994,0,0,NA,NA,NA,NA,NA
Benin,Western Africa,1995,0.018580318558677,1050,NA,3e3,0.05,NA,NA
Benin,Western Africa,1996,0.046496169261858,2707,NA,4e3,0.06,0.001693100193437,98.5720392968555
Benin,Western Africa,1997,0.071725672931265,4295,NA,5e3,0.08,0.024648795742003,1475.99281241116
Benin,Western Africa,1998,0.102133196245866,6286,0.225206600017481,7e3,0.1,0.047877303875811,2946.70825182887
Benin,Western Africa,1999,0.114843630025613,7269,1.28497003411955,9e3,0.13,0.15490674072035,9804.78497627681
Benin,Western Africa,2e3,0.85114478636229,55476,0.104314163795369,1e4,0.14,0.225247851473369,14681.2269881164
Benin,Western Africa,2001,1.85974903505062,125e3,0.138567304065664,11e3,0.15,0.363417890016082,24426.5411062702
Benin,Western Africa,2002,3.1532210000454,218770,1.71039510692575,15e3,0.2,0.7029455951039,48770.2599464693
Benin,Western Africa,2003,3.29624272293445,236175,0.120940186878351,25825,0.33,0.951327114915695,68162.359465202
Benin,Western Africa,2004,6.20874467844961,459322,0.058654476924451,3e4,0.37,1.18254096518994,87484.2032236067
Benin,Western Africa,2005,7.81092455523538,596267,0.099451406648472,32e3,0.38,1.27103143947107,97027.4514828234
Benin,Western Africa,2006,13.4116653478083,1055727,0.16567672135939,5e4,0.57,1.53785434624704,121055.388223333
Benin,Western Africa,2007,25.2913101675634,2051776,NA,NA,NA,1.79,145215.0567
Benin,Western Africa,2008,43.3864848886666,3625366,NA,NA,NA,1.85,154585.63
Benin,Western Africa,2009,58.515263891587,5033349,NA,NA,NA,2.24,192679.6704
Benin,Western Africa,2010,79.9435066552225,7074914,NA,NA,NA,3.13,277001.6196
Benin,Western Africa,2011,85.3326654887811,7765206,NA,NA,NA,3.5,NA
Botswana,Southern Africa,1965,0,0,NA,NA,NA,NA,NA
Botswana,Southern Africa,1966,NA,NA,NA,NA,NA,NA,NA
Botswana,Southern Africa,1967,NA,NA,NA,NA,NA,NA,NA
Botswana,Southern Africa,1968,NA,NA,NA,NA,NA,NA,NA
Botswana,Southern Africa,1969,NA,NA,NA,NA,NA,NA,NA
Botswana,Southern Africa,1970,0,0,NA,NA,NA,NA,NA
Botswana,Southern Africa,1971,NA,NA,NA,NA,NA,NA,NA
Botswana,Southern Africa,1972,NA,NA,NA,NA,NA,NA,NA
Botswana,Southern Africa,1973,NA,NA,NA,NA,NA,NA,NA
Botswana,Southern Africa,1974,NA,NA,NA,NA,NA,NA,NA
Botswana,Southern Africa,1975,0,0,NA,NA,NA,NA,NA
Botswana,Southern Africa,1976,0,0,NA,NA,NA,NA,NA
Botswana,Southern Africa,1977,0,0,NA,NA,NA,NA,NA
Botswana,Southern Africa,1978,0,0,NA,NA,NA,NA,NA
Botswana,Southern Africa,1979,0,0,NA,NA,NA,NA,NA
Botswana,Southern Africa,1980,0,0,NA,NA,NA,NA,NA
Botswana,Southern Africa,1981,0,0,NA,NA,NA,NA,NA
Botswana,Southern Africa,1982,0,0,NA,NA,NA,NA,NA
Botswana,Southern Africa,1983,0,0,NA,NA,NA,NA,NA
Botswana,Southern Africa,1984,0,0,NA,NA,NA,NA,NA
Botswana,Southern Africa,1985,0,0,NA,NA,NA,NA,NA
Botswana,Southern Africa,1986,0,0,NA,NA,NA,NA,NA
Botswana,Southern Africa,1987,0,0,NA,NA,NA,NA,NA
Botswana,Southern Africa,1988,0,0,NA,NA,NA,NA,NA
Botswana,Southern Africa,1989,0,0,NA,NA,NA,NA,NA
Botswana,Southern Africa,1990,0,0,NA,NA,NA,0,0
Botswana,Southern Africa,1991,0,0,NA,NA,NA,0,0
Botswana,Southern Africa,1992,0,0,NA,NA,NA,NA,NA
Botswana,Southern Africa,1993,0,0,NA,NA,NA,NA,NA
Botswana,Southern Africa,1994,0,0,NA,1e4,0.63,NA,NA
Botswana,Southern Africa,1995,0,0,NA,15e3,0.93,0.064521040956666,1023.06949819406
Botswana,Southern Africa,1996,0,0,NA,2e4,1.21,0.157454229629989,2556.59062467131
Botswana,Southern Africa,1997,0,0,NA,3e4,1.78,0.307746849903244,5110.25338644634
Botswana,Southern Africa,1998,0.895854945809327,15190,NA,4e4,2.34,0.602400929143193,10214.2318424312
Botswana,Southern Africa,1999,5.32352262120996,92e3,NA,5e4,2.88,1.12239147360549,19396.9337446406
Botswana,Southern Africa,2e3,12.6393333048907,222190,0.510234320738991,6e4,3.42,2.90266662177209,51026.702210787
Botswana,Southern Africa,2001,18.6199773711661,332264,0.253829474299866,65e3,3.68,3.43088678702599,61222.4249622174
Botswana,Southern Africa,2002,18.3763867434543,332264,0.512387789265675,7e4,3.95,3.38592235064273,61220.9635996418
Botswana,Southern Africa,2003,24.3140503363974,444978,0.44942099619406,75e3,4.23,3.3451901740614,61221.2285768446
Botswana,Southern Africa,2004,28.2273978090348,522840,0.416845085635668,8e4,4.52,3.30488925316113,61214.5798494292
Botswana,Southern Africa,2005,30.0575846642778,563782,0.439827418644041,86e3,4.87,3.26255403605122,61194.845164623
Botswana,Southern Africa,2006,43.2988497584046,823070,0.421133505760616,9e4,5.11,4.28993297515968,81547.5504214591
Botswana,Southern Africa,2007,59.7528974755388,1151761,0.430120440314939,NA,NA,5.28,101774.112
Botswana,Southern Africa,2008,76.0064599232053,1485791,0.566611135386032,NA,NA,6.25,122176.375
Botswana,Southern Africa,2009,94.5762867535739,1874101,0.924868482364205,NA,NA,6.15,121866.924
Botswana,Southern Africa,2010,117.761622764949,2363411,0.399678757503703,NA,NA,6,120416.7
Botswana,Southern Africa,2011,142.818177431062,2900263,NA,NA,NA,7,NA
Burkina Faso,Western Africa,1965,0,0,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1966,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1967,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1968,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1969,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1970,0,0,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1971,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1972,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1973,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1974,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1975,0,0,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1976,0,0,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1977,0,0,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1978,0,0,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1979,0,0,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1980,0,0,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1981,0,0,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1982,0,0,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1983,0,0,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1984,0,0,NA,NA,NA,NA,NA
